Initiative,Epic,Task ID,Name,Subtask?,Priority,Customer,Customer Priority Context,Due Date (Adjusted),Completed At,Estimated Hours,Resourcing Impact,Status,Feature Set,Must Deliver in 90 Days?
Uncategorized,nan - Customer Requests,1209953599744334,Account for uneditable metadata properties,Yes,,,,NaT,2025-05-12,,Needs Assignment,Completed,,No
Uncategorized,nan - Customer Requests,1.20995E+15,"Save more metadata info - created, last_edited, last_edited_by",Yes,,,,NaT,2025-05-20,,Needs Assignment,Completed,,No
Uncategorized,nan - Customer Requests,1209953599744336,Allow specifying suggested keys in program config with dropdown,Yes,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1209953599744339,Add the ability to delete / archive an org from the org page,Yes,,,,NaT,2025-05-20,,Needs Assignment,Completed,,No
Admin UI / AST,nan - Customer Requests,1209953599744338,Make org page viewable for an 'org admin' tag belonging to the same org,Yes,,,,NaT,,,Product,Open,,No
Uncategorized,nan - Customer Requests,1209953599744337,Add a role selector,Yes,,,,NaT,2025-05-20,,Needs Assignment,Completed,,No
Uncategorized,nan - Customer Requests,1.2099E+15,Add an Add Organization button,Yes,,,,NaT,2025-05-29,40.0,Needs Assignment,Completed,,No
Uncategorized,nan - Customer Requests,1209900056271809,[Duplicate] Add functionality to custom query dashboards,Yes,,,,NaT,2025-04-07,,Needs Assignment,Completed,,No
Uncategorized,nan - Customer Requests,1210620293609847,Breanna Outline what this looks like,Yes,,,,2025-10-07,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1.2105E+15,DR: Allow clicking through from a notif on DR page to its target field value change page,No,Low,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1210642734211169,Notifications: Add ability to collapse languages in preview pane,No,Low,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1210639138900259,handle emails sent to multiple ppl,No,Low,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1210630471588516,"[Duplicate] Set up a redirect to sub-survey / page by table, in addition to by dashboard",Yes,,,,NaT,2025-06-26,,Needs Assignment,Completed,,No
Uncategorized,nan - Customer Requests,1210628573724357,General - Convert PieChart into a component-library component,No,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1210631000378323,"DR: distinguish between changed and affected, count TF as affected",No,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1210345642087044,PreviewPanel: Fix search in Notifs preview pane,No,Medium,,,NaT,,20.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1208733507778337,"Add ""I'm unable to proceed"" to Session Final Page and Pending Application View",Yes,Low,,,NaT,,40.0,Needs Assignment,Open,,No
Document Assistance,nan - Customer Requests,1209559428645115,Rework / Write Liveness Design Doc [nice to have],Yes,Low,,,NaT,,40.0,Product,Open,,No
Document Assistance,Document Intake Improvements,1210155325094377,[PDF] Plan/Proposal for submissions bulk upload,Yes,Medium,,,2025-10-07,,40.0,Product,Open,,No
Uncategorized,nan - Customer Requests,1208573989664343,Liveness: Download a model in bite size chunks to the users phone. ,No,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1208672737801016,[Duplicate] Add Passport Detection via configured field,No,Low,,,NaT,2025-06-17,40.0,Needs Assignment,Completed,,No
Uncategorized,nan - Customer Requests,1.21058E+15,robonav-img created every time a change made to AK?,No,Low,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,AidKit (Internal R&D) - Customer Requests,1209705723616087,Compile List of Test Queries for DB Migration,Yes,Low,AidKit (Internal R&D),,NaT,,60.0,Needs Assignment,Open,,No
Payments & Disbursements,Disbursements Engine,1210545308151092,"Warn the Distro if no_cron, archived, or pause_payments is true",No,Medium,,,NaT,,20.0,Platform,Open,,No
Uncategorized,nan - Customer Requests,1210447283115929,PDF Screener Comms,No,Medium,,,2025-06-04,2025-06-11,40.0,Needs Assignment,Completed,,No
Integrations,nan - Customer Requests,1210447283115936,Fix requiring an applicant email when Recipient = Screener is selected on a notif,Yes,,,,NaT,2025-06-03,40.0,Platform,Completed,,No
Integrations,nan - Customer Requests,1210447283115937,Allow user.email and user.name from RS,Yes,,,,NaT,2025-06-03,40.0,Platform,Completed,,No
Uncategorized,nan - Customer Requests,1210515783115867,PDF Issues,No,High,,,2025-06-11,2025-06-11,20.0,Needs Assignment,Completed,,Yes
Uncategorized,nan - Customer Requests,1210537641859474,Integrate AI into the Tags,No,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1210534917586948,DR: Link to reviews from Version History,No,Low,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1210536696915597,Disabling Active Chats Should Be Graceful,No,Low,,,NaT,,20.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1210447283115938,Allow setting alternate contact as a default for the Comms Tab,No,Medium,,,NaT,,40.0,Needs Assignment,Open,,No
Security & Compliance,nan - Customer Requests,1210501678790016,Redact PII for USBank,No,Medium,,,NaT,,20.0,Platform,Open,,No
Payments & Disbursements,nan - Customer Requests,1210513994171767,New Bug Report: Allow apps with single word `legal_name` to get passed the bad_usio_mail_name error on payments,No,Low,,,NaT,,40.0,Platform,Open,,No
Document Assistance,nan - Customer Requests,1209826395217934,[DA] Create function to allow partial anonymization of fields,No,Medium,,,NaT,,40.0,Product,Open,,No
Uncategorized,nan - Customer Requests,1210495065305052,Allow bulk import of students,Yes,Low,,,2025-10-07,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1210495457691031,Smarty look up on bulk imported,Yes,,,,NaT,,,Needs Assignment,Open,,No
Notifications & Comms,nan - Customer Requests,1210495457691037,CSV template for orgs to use,Yes,,,,NaT,,,Platform,Open,,No
Uncategorized,nan - Customer Requests,1210495457691043,Bulk Import page in dashboards,Yes,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1.2105E+15,Define requirements for this dash,Yes,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1210495457519143,Testing,Yes,,,,NaT,,,Needs Assignment,Open,,No
Document Assistance,Document Intake Improvements,1210495457519149,Document upload table,Yes,,,,NaT,,,Product,Open,,No
Document Assistance,Document Intake Improvements,1210495457519155,Document upload form,Yes,,,,NaT,,,Product,Open,,No
Uncategorized,nan - Customer Requests,1.2105E+15,Allow bulk import for submissions,Yes,Low,,,2025-10-07,,,Needs Assignment,Open,,No
Document Assistance,Document Intake Improvements,1210495370875917,Document plan for bulk import of submissions,Yes,,,,NaT,,,Product,Open,,No
Eligibility & Workflow,nan - Customer Requests,1210495370875923,Outline workflow for bulk import of submissions,Yes,,,,NaT,,,Platform,Open,,No
Document Assistance,Document Intake Improvements,1210495370875929,Convert submission forms to CSVs to be shared with orgs for bulk upload,Yes,,,,NaT,,,Product,Open,,No
Uncategorized,nan - Customer Requests,1210495370875935,Create bulk import section for each submission type,Yes,,,,NaT,,,Needs Assignment,Open,,No
Document Assistance,Document Intake Improvements,1210495370755086,Create document upload forms,Yes,,,,NaT,,,Product,Open,,No
Uncategorized,nan - Customer Requests,1210455779699032,Return a useful error to the frontend for 413 (timeout) for /explore (and elsewhere?),No,Low,,,NaT,,20.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1210476498874702,Validate Other field is Complete,No,Medium,,,NaT,,20.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1210455758307888,Copy Editor Track Changes,No,Low,,,NaT,,,Needs Assignment,Open,,No
Data & Reporting,nan - Customer Requests,1210453821063537,"New Bug Report: Create something to indicate ""File is too large"" to the applicant.",No,Low,,,NaT,2025-07-07,40.0,Platform,Completed,,No
Uncategorized,nan - Customer Requests,1.21045E+15,Ensure Parity between Collab Changes toBePublished and <-> Publish,No,Low,,,NaT,,,Needs Assignment,Open,,No
Security & Compliance,nan - Customer Requests,1210416434854693,[DA] Create transform for certain fields to substitute PII with something,No,Medium,,,NaT,,40.0,Platform,Open,,No
Admin UI / AST,AidKit (Internal R&D) - Customer Requests,1.21025E+15,Add dev as admin to all programs for easy debug access,No,Medium,AidKit (Internal R&D),,NaT,,20.0,Product,Open,,No
Integrations,nan - Customer Requests,1210733127765941,Update how we handle Twilio API calls,No,Low,,,NaT,,,Platform,Open,,No
Uncategorized,nan - Customer Requests,1208168981845584,Only show Whatsapp banner when WhatsApp has been selected from the dropdown as the desired contact. ,Yes,Low,,,NaT,,20.0,Needs Assignment,Open,,No
Infrastructure & DevOps,nan - Customer Requests,1210662969910831,Custom Configuration for Save and Log-out Pop-up,No,,,,2025-10-07,,,Platform,Open,,No
Payments & Disbursements,nan - Customer Requests,1209094004164892,"Clarify required variables for payment configurations (e.g., when is phone_number needed for USIO?).",No,Low,,,NaT,,,Platform,Open,,No
Uncategorized,nan - Customer Requests,1209094004164937,"Fix USIO virtual card activation and access issues (e.g., link sending failures, participant activation problems).",Yes,Low,,,NaT,,,Needs Assignment,Open,,No
Payments & Disbursements,nan - Customer Requests,1209094004164934,[Duplicate] Automate scheduled payments to reduce reliance on manual approvals and minimize human error.,No,Low,,,NaT,2025-05-30,,Platform,Completed,,No
Payments & Disbursements,nan - Customer Requests,1209094004164932,Make it easier to configure notifications for payment statuses and failures.,Yes,Low,,,NaT,,,Platform,Open,,No
Uncategorized,nan - Customer Requests,1.20909E+15,Fix inconsistencies where 'Enabled' status does not always reflect an active state.,No,Low,,,NaT,2025-08-29,,Needs Assignment,Completed,,No
Uncategorized,nan - Customer Requests,1209094004164926,Automate Auto Retry setup to reduce manual configuration effort.,Yes,Low,,,NaT,,,Needs Assignment,Open,,No
Payments & Disbursements,nan - Customer Requests,1208729121184318,"Implement Something on a Per-Applicant basis (on ApplicantPage) that shows their current payment eligibilty, and why they are not eligible",No,Medium,,,NaT,2025-05-30,40.0,Platform,Completed,,No
Accessibility & UX,nan - Customer Requests,1.20909E+15,Improve accuracy and accessibility of financial dashboards to prevent errors and enhance partner trust.,No,Low,,,NaT,,,Product,Open,,No
Uncategorized,nan - Customer Requests,1209094004164904,Enable accounting team to invoice independently with a centralized source of truth for invoicing schedules and amounts.,No,Low,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1.20909E+15,Automate invoice status tracking and enable one-click invoice generation by time period to prevent duplicates and improve reporting.,No,Low,,,NaT,,,Needs Assignment,Open,,No
Payments & Disbursements,nan - Customer Requests,1209094004164945,Ensure contract payment numbers are clear and consistent across agreements,No,Low,,,NaT,,,Platform,Open,,No
Uncategorized,nan - Customer Requests,1209094004164902,"Ensure financial reporting, accounting needs, and invoicing processes are clearly defined before program launch.",No,Low,,,NaT,,,Needs Assignment,Open,,No
Payments & Disbursements,nan - Customer Requests,1209094004164915,Enable real-time payment monitoring across programs with easy access to payment data in dashboards.,No,Low,,,NaT,,,Platform,Open,,No
Payments & Disbursements,nan - Customer Requests,1209094004164919,Provide clear visibility into payment failures and next steps for clients.,Yes,Low,,,NaT,,,Platform,Open,,No
Payments & Disbursements,nan - Customer Requests,1209094004164917,Improve anomaly detection and alerts so internal teams catch payment issues before partners do.,Yes,Low,,,NaT,,,Platform,Open,,No
Payments & Disbursements,nan - Customer Requests,1208923411969417,Payment Alert,Yes,Low,,,NaT,,,Platform,Open,,No
Uncategorized,nan - Customer Requests,1210104774059471,Different time zones in time response delay feature,No,Low,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1210201939661872,Easier way to send sub surveys in app.,No,Medium,,,NaT,,40.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1210201417283121,Support Stats Dashboard (AE) - support stats ,No,Low,,,NaT,,40.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1210103375545654,Ability to add attachments to comms ,No,Low,,,NaT,,,Needs Assignment,Open,,No
Security & Compliance,nan - Customer Requests,1210354423165275,AWS Config + Security Hub enabled,No,Low,,,NaT,,,Platform,Open,,No
Data & Reporting,nan - Customer Requests,1210330406359688,Enable AEs to create downloadable attachment export for program end,No,Medium,,,NaT,,40.0,Platform,Open,,No
Uncategorized,nan - Customer Requests,1210104774059463,Show applicant's name in support dashboard,No,Medium,,,2025-05-23,2025-05-22,40.0,Needs Assignment,Completed,,No
Uncategorized,nan - Customer Requests,1210319030012526,,No,Low,,,NaT,2025-05-19,,Needs Assignment,Completed,,No
Uncategorized,AidKit (Internal R&D) - Customer Requests,1210278023597752,"NotifConfig: Add a ‘start/stop datetime’ to the notif top level, so that logic does not need to be added to the Notif SQL itself",No,Low,AidKit (Internal R&D),,NaT,,20.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1210277935083001,Surface 403 Auth Issues and Handle Them in the Frontend,No,Medium,,,NaT,,40.0,Needs Assignment,Open,,No
Accessibility & UX,AidKit (Internal R&D) - Customer Requests,1210252907533895,Fix UX of select questions w/ 20 options or more,No,Medium,AidKit (Internal R&D),,NaT,,40.0,Product,Open,,No
Uncategorized,nan - Customer Requests,1210228218418987,Freeze progress bar on subsurveys when on desktop,No,Low,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1209979259060648,Word Limits on Text Entry,No,Low,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1209864703142772,Prettify the Liveness First/Main Page,No,Low,,,NaT,,40.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1209864805026892,,Yes,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1209845591438816,Making some computed fields available prior to contact confirmation.,No,Medium,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1209664191665766,Programable timed subsurvey access,No,Low,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1209664191665764,Configuring Guard_params per subsurvey,No,Low,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1209400690997461,HH Calculator additional info optional option ,No,Low,,,NaT,,,Needs Assignment,Open,,No
Payments & Disbursements,Disbursements Engine,1209029045122027,Lottery System built into distro,No,Low,,,NaT,,,Platform,Open,,No
Uncategorized,nan - Customer Requests,1.20898E+15,Create bulk download feature,No,Low,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1208975561885515,"Allow customizable ""buttons""",Yes,Medium,,,2025-02-03,2025-02-03,,Needs Assignment,Completed,,No
Uncategorized,nan - Customer Requests,1208663038941338,Simplify Date Matching,No,Low,,,NaT,,40.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1208889218830109,Liveness Error on RxKidsTest ,No,Medium,,,2024-12-16,2024-12-06,,Needs Assignment,Completed,,No
Payments & Disbursements,Disbursements Engine,1208852686486036,InlineSignature in Distro preview pane can cause page to hang,No,Low,,,NaT,,,Platform,Open,,No
Uncategorized,nan - Customer Requests,1208748644758295,"[Duplicate] Allow Lock, Freeze or Close GiveCard within AK",No,Medium,,,NaT,2025-05-16,,Needs Assignment,Completed,,No
Security & Compliance,nan - Customer Requests,1208748644758292,Detect card re-associations and update card_id,No,Low,,,NaT,,,Platform,Open,,No
Uncategorized,nan - Customer Requests,1208748643808047,Allow ordering faster speed shipping for GiveCard within AK,No,Low,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1.20845E+15,Derived fields from Give Card Mailing Order Details,No,Low,,,NaT,,20.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1208413767689878,Enable using LastModifiedDate in Computed Fields,No,Low,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1.2084E+15,Ability to schedule sending subsurveys,No,Low,,,NaT,,20.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1208381972796772,[Duplicate] Allow applicants to revisit application/enrollment in read-only mode,No,Medium,,,NaT,2025-05-16,40.0,Needs Assignment,Completed,,No
Payments & Disbursements,Disbursements Engine,1207292626002124,in-distro translation improvements,No,Medium,,,NaT,,,Platform,Open,,No
Uncategorized,nan - Customer Requests,1207057657009445,"[Duplicate] update support case activity notifs to support sending more info like Applicant Links, and message body",No,,,,NaT,2025-05-20,,Needs Assignment,Completed,,No
Security & Compliance,nan - Customer Requests,1208364445451986,Have all contact methods associated with an app appear in same support ticket,No,,,,2024-10-11,2025-04-22,,Platform,Completed,,No
Uncategorized,nan - Customer Requests,1208356539068407,Could we allow URLs in tables to become links that people can click into?,No,Low,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1208345787864075,Ability to see dashboards in the preview pane ,No,Low,,,NaT,,,Needs Assignment,Open,,No
Payments & Disbursements,nan - Customer Requests,1208345754759603,[Duplicate] Ability to pre-approve (or approve with a delay in issuance) payments in Robocontroller,Yes,,,,NaT,2025-05-16,,Platform,Completed,,No
Uncategorized,nan - Customer Requests,1208344233768516,Way to use text for representing external links in notifs ,No,Medium,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,International Rescue Committee - Customer Requests,1208342797497237,Address Line 2 Issue with GiveCard,No,Medium,International Rescue Committee,,NaT,2025-06-04,,Needs Assignment,Completed,,No
Payments & Disbursements,Disbursements Engine,1208342797497233,[Duplicate] Allow for next day shipping to happen in Distro and not have to happen manually in GiveCard,No,Low,,,NaT,2025-06-04,,Platform,Completed,,No
Payments & Disbursements,nan - Customer Requests,1208289024200515,Save Twilio Delivery Errors like we do Payment Errors,No,Low,,,NaT,,,Platform,Open,,No
Uncategorized,nan - Customer Requests,1208204702355961,RC GUI Upgrades,No,Low,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1208204702355963,Program Pick List in RC,Yes,,,,2025-10-07,,,Needs Assignment,Open,,No
Payments & Disbursements,nan - Customer Requests,1208204702355971,GiveCard payment value units should be $$,Yes,,,,2025-10-07,,,Platform,Open,,No
Uncategorized,nan - Customer Requests,1208204702355974,RC Task Reconciliation Window Size,Yes,,,,2025-10-07,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1208248849470189,Clear input screen after anticipate action complete,Yes,,,,2025-10-07,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1208181152257011,"Prevent publishing if we are missing target field, value, label, etc.",No,Low,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1208181152257009,Decryption functionality for ak-admins,No,Low,,,NaT,,,Needs Assignment,Open,,No
Security & Compliance,nan - Customer Requests,1208171380088425,Data Dictionary Improvement - Add Subsurvey column to associate question with subsurvey,No,Medium,,,NaT,,,Platform,Open,,No
Uncategorized,nan - Customer Requests,1208136576530685,Support MCC-based Restrictions on GiveCard Cards,No,Low,,,NaT,,40.0,Needs Assignment,Open,,No
Eligibility & Workflow,nan - Customer Requests,1208136576530694,Support Assigning Merchant Rules to GiveCard Cards Automagically,Yes,,,,NaT,,,Platform,Open,,No
Payments & Disbursements,Disbursements Engine,1208136576530695,Support Merchant Rules in Distro,Yes,,,,NaT,,,Platform,Open,,No
Uncategorized,nan - Customer Requests,Truncated at 500 rows.,,No,,,,NaT,,,Needs Assignment,Open,,No
